original_id,artists,track name,emotionality,emotion_type,emotion_score,culture
102482,Emre Fel,Sevgilim Biz Ayrıldık,0.40983879538848267,SADNESS,0.9873722791671752,Turkish
102649,Sertab Erener,Dandini Dandini Dastana,0.5081057714900845,ANGER,0.3828654885292053,Turkish
102799,Sertab Erener,Fış Fış Kayıkçı,0.531716910180217,JOY,0.9973301887512208,Turkish
102882,Sera Savaş,Anlatsam Anlatamam,0.29022038867802114,SADNESS,0.9788092970848083,Turkish
102903,Ufuk Beydemir,Ay Tenli Kadın,0.2610120429412971,LOVE,0.4738219380378723,Turkish
102934,Burcu Güneş,Yansın Geceler,0.2514077894749051,SADNESS,0.6678830981254578,Turkish
102981,Suzan Hacigarip,Şimdi Biraz Uyu,0.3442387537738272,SADNESS,0.925359308719635,Turkish
102983,Kaan Tangöze,Bir Kız Bana Emmi Dedi,0.5282088006149215,ANGER,0.8581915497779846,Turkish
102992,Barış Kocatürk,Kalmalısın,0.17574756877823786,JOY,0.9962220191955566,Turkish
102997,Melike Şahin,Nasır (Live at Zorlu PSM),0.33374473703261426,FEAR,0.5114221572875977,Turkish
112001,Lil Zey,Eskisi Gibi,0.2067657317370199,SADNESS,0.9987748265266418,Turkish
112002,Serhat Durmus,Gesi Bağları,0.34442558967466197,SADNESS,0.8858768343925476,Turkish
112020,Khontkar,Ondan Böyleyim,0.21303464681869216,SADNESS,0.5941985249519348,Turkish
112021,Pinhani,Çok Alıştım Sana,0.3374900102902647,SADNESS,0.4994170367717743,Turkish
112022,Scoochie Boochie,Big Space Battle,0.2395777994504085,JOY,0.9461897611618042,Turkish
112024,Mavi (TUR),ama hala,0.13154861344495675,JOY,0.6108287572860718,Turkish
112027,Ayna,Severek Ayrılanlar,0.24026934207104314,LOVE,0.983578324317932,Turkish
112028,Flört,Bir Tek Sen Gelmedin,0.13656872881001736,JOY,0.955233871936798,Turkish
112029,Şehinşah,Hiphop Okulu,0.10986890520399087,ANGER,0.9694929718971252,Turkish
112032,Anıl Piyancı,Beraber Büyüdük,0.14347826953652498,JOY,0.9968848824501038,Turkish
112034,Anıl Piyancı,Beraber Büyüdük,0.14347826953652498,JOY,0.9968848824501038,Turkish
112035,Lvbel C5,10 NUMARA,0.1487678281728829,ANGER,0.9871715903282166,Turkish
112037,Hüsnü Arkan,Öyle Bir Rüya,0.32958594936938623,SADNESS,0.961372435092926,Turkish
112038,Ceg,Neden,0.15920192928707147,SADNESS,0.9549638628959656,Turkish
112039,Duman,Her Şeyi Yak,0.2988849429407591,SADNESS,0.8356033563613892,Turkish
112040,No.1,Ateş ve Barut,0.2271815412162447,JOY,0.7593369483947754,Turkish
112042,Vega (TUR),Bu Sabahların Bir Anlamı Olmalı,0.2896389160912083,ANGER,0.6674341559410095,Turkish
112043,Teoman,Gemiler,0.2063798842406832,JOY,0.8043980598449707,Turkish
112044,Teoman,Sevdim Seni Bir Kere,0.3120219088283022,LOVE,0.9568387269973756,Turkish
112045,Teoman,Sevdim Seni Bir Kere,0.3120219088283022,LOVE,0.9568387269973756,Turkish
112047,Emir Can İğrek,Kaptan,0.2167978964680088,ANGER,0.99232679605484,Turkish
112048,Teoman,Paramparça,0.090553303660213,SADNESS,0.99797123670578,Turkish
112056,Şehinşah,Koyu,0.13263721352844832,ANGER,0.8884848356246948,Turkish
112060,Anıl Piyancı,Beraber Büyüdük,0.14347826953652498,JOY,0.9968848824501038,Turkish
112064,Nev,Susma,0.21029105569301637,SADNESS,0.995371162891388,Turkish
112065,Nev,Benmişim,0.04210628405905417,FEAR,0.6093745827674866,Turkish
112067,Hidra,Neden Mi İllegal 3,0.07627651419573911,FEAR,0.9371110796928406,Turkish
