original_id,artists,track name,emotion_type,emotion_score,culture
102482,Emre Fel,Sevgilim Biz Ayrıldık,SADNESS,0.9873722791671753,Turkish
102649,Sertab Erener,Dandini Dandini Dastana,ANGER,0.3828650712966919,Turkish
102799,Sertab Erener,Fış Fış Kayıkçı,JOY,0.9973301887512207,Turkish
102882,Sera Savaş,Anlatsam Anlatamam,SADNESS,0.9788094162940979,Turkish
102903,Ufuk Beydemir,Ay Tenli Kadın,LOVE,0.4738229513168335,Turkish
102934,Burcu Güneş,Yansın Geceler,SADNESS,0.6678822040557861,Turkish
102981,Suzan Hacigarip,Şimdi Biraz Uyu,SADNESS,0.925359308719635,Turkish
102983,Kaan Tangöze,Bir Kız Bana Emmi Dedi,ANGER,0.8581916689872742,Turkish
102992,Barış Kocatürk,Kalmalısın,JOY,0.9962221384048462,Turkish
102997,Melike Şahin,Nasır (Live at Zorlu PSM),FEAR,0.5114169716835022,Turkish
112001,Lil Zey,Eskisi Gibi,SADNESS,0.9987748265266418,Turkish
112002,Serhat Durmus,Gesi Bağları,SADNESS,0.8858769536018372,Turkish
112020,Khontkar,Ondan Böyleyim,SADNESS,0.5941989421844482,Turkish
112021,Pinhani,Çok Alıştım Sana,SADNESS,0.4994174540042877,Turkish
112022,Scoochie Boochie,Big Space Battle,JOY,0.9461892247200012,Turkish
112024,Mavi (TUR),ama hala,JOY,0.6108289361000061,Turkish
112027,Ayna,Severek Ayrılanlar,LOVE,0.9835783243179321,Turkish
112028,Flört,Bir Tek Sen Gelmedin,JOY,0.9552338719367981,Turkish
112029,Şehinşah,Hiphop Okulu,ANGER,0.9694929718971252,Turkish
112032,Anıl Piyancı,Beraber Büyüdük,JOY,0.9968848824501038,Turkish
112034,Anıl Piyancı,Beraber Büyüdük,JOY,0.9968848824501038,Turkish
112035,Lvbel C5,10 NUMARA,ANGER,0.9871717095375061,Turkish
112037,Hüsnü Arkan,Öyle Bir Rüya,SADNESS,0.9613723158836365,Turkish
112038,Ceg,Neden,SADNESS,0.9549639821052551,Turkish
112039,Duman,Her Şeyi Yak,SADNESS,0.8356022834777832,Turkish
112040,No.1,Ateş ve Barut,JOY,0.7593365907669067,Turkish
112042,Vega (TUR),Bu Sabahların Bir Anlamı Olmalı,ANGER,0.6674338579177856,Turkish
112043,Teoman,Gemiler,JOY,0.8043980002403259,Turkish
112044,Teoman,Sevdim Seni Bir Kere,LOVE,0.956838846206665,Turkish
112045,Teoman,Sevdim Seni Bir Kere,LOVE,0.956838846206665,Turkish
112047,Emir Can İğrek,Kaptan,ANGER,0.9923266768455505,Turkish
112048,Teoman,Paramparça,SADNESS,0.99797123670578,Turkish
112056,Şehinşah,Koyu,ANGER,0.8884840607643127,Turkish
112060,Anıl Piyancı,Beraber Büyüdük,JOY,0.9968848824501038,Turkish
112064,Nev,Susma,SADNESS,0.9953711628913879,Turkish
112065,Nev,Benmişim,FEAR,0.6093721389770508,Turkish
112067,Hidra,Neden Mi İllegal 3,FEAR,0.9371110796928406,Turkish
112068,Şehinşah,Türlü Bela,SADNESS,0.5093413591384888,Turkish
112071,Nev,Mühürlü Kaderim,JOY,0.38084203004837036,Turkish
112072,Joker,Yaşamak Öldürür P2,SADNESS,0.9867969751358032,Turkish
112074,Birileri,...aynı yer,JOY,0.9518191814422607,Turkish
