original_id,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,lang_fasttext,lang_confidence
1163,76Id5YpwGnoxtFNceLXFMY,Plastilina Mosh,JAJAJA,JAJAJA,32,191472,False,0.714,0.889,0,-4.857,1,0.0367,0.0483,4.02e-05,0.413,0.935,122.757,4,afrobeat,sr,0.1348040997982025
1316,0mv4wsluGcvNmoB0UonpX9,Timoneki,Timoneki,Mictlán,23,276970,False,0.518,0.649,0,-7.188,1,0.045,0.112,0.162,0.191,0.683,180.202,3,afrobeat,hr,0.2109356969594955
1557,7tUhh4MxnkgNvasB6ZxlAu,Hektombe,La Negra,La Negra,18,359045,False,0.717,0.683,8,-10.197,0,0.0433,0.0364,0.00564,0.104,0.594,113.016,4,afrobeat,ro,0.1982259154319763
1928,5OyCifE7MBhhWCTkn5DHVF,Höröyá,Höröyá,Mansa Fela,15,344410,False,0.746,0.881,8,-6.687,0,0.135,0.0335,0.694,0.329,0.586,130.988,4,afrobeat,hu,0.6401912569999695
2194,7D9CMVj8TeaozjxYCIE5oF,Counting Crows,Обратно в клас - rock,Mr. Jones,0,272733,False,0.571,0.836,0,-5.556,1,0.0371,0.194,4.09e-06,0.182,0.73,141.612,4,alt-rock,bg,0.4906502366065979
2243,2ZLe81mFJfD39BqIy3zkWb,No Doubt,Обратно в клас - rock,Don't Speak,0,262746,False,0.508,0.752,5,-5.439,0,0.0343,0.251,2.1e-05,0.142,0.554,76.07,4,alt-rock,bg,0.5111106038093567
2247,4haXv9IJwOlJJsT6FNJPYk,Jimmy Eat World,Обратно в клас - rock,The Middle,0,166040,False,0.644,0.848,2,-5.385,1,0.0529,0.0358,0.0,0.0676,0.928,162.151,4,alt-rock,bg,0.4330826997756958
2268,0VubuUqnJDOm2pD144598j,Neon Trees,Обратно в клас - rock,Everybody Talks,0,177280,False,0.474,0.916,8,-3.93,1,0.0624,0.00504,0.0,0.325,0.745,154.948,4,alt-rock,bg,0.5237060189247131
2277,0e6RXd6MAv6xdvHriDc0ud,Smash Mouth,Обратно в клас - rock,All Star,0,200373,False,0.731,0.867,11,-5.881,1,0.032,0.0394,0.0,0.0861,0.776,104.02,4,alt-rock,bg,0.3754495680332184
2299,5XEYNhZdOT7QUfoXxVSdbu,The Verve,Обратно в клас - rock,Bitter Sweet Symphony - Remastered 2016,0,357266,False,0.356,0.917,9,-6.005,1,0.0487,0.0336,0.0,0.406,0.523,171.172,4,alt-rock,bg,0.2384563088417053
2327,5S9KnOMLC5vRckzbvzasEs,Hoobastank,Обратно в клас - rock,The Reason,0,232800,False,0.474,0.671,4,-4.649,1,0.0289,0.0129,0.0,0.159,0.0682,82.94,4,alt-rock,bg,0.4479413628578186
2383,4ITIaQ64inKaI9rjRoNcLo,Bishop Briggs,Обратно в клас - rock,River,0,214280,False,0.726,0.484,2,-6.708,0,0.0477,0.274,2.42e-06,0.0874,0.561,62.492,4,alt-rock,bg,0.7221845388412476
3331,7D9CMVj8TeaozjxYCIE5oF,Counting Crows,Обратно в клас - rock,Mr. Jones,0,272733,False,0.571,0.836,0,-5.556,1,0.0371,0.194,4.09e-06,0.182,0.73,141.612,4,alternative,bg,0.4906502366065979
3416,0e6RXd6MAv6xdvHriDc0ud,Smash Mouth,Обратно в клас - rock,All Star,0,200373,False,0.731,0.867,11,-5.881,1,0.032,0.0394,0.0,0.0861,0.776,104.02,4,alternative,bg,0.3754495680332184
3425,2ZLe81mFJfD39BqIy3zkWb,No Doubt,Обратно в клас - rock,Don't Speak,0,262746,False,0.508,0.752,5,-5.439,0,0.0343,0.251,2.1e-05,0.142,0.554,76.07,4,alternative,bg,0.5111106038093567
3472,0VubuUqnJDOm2pD144598j,Neon Trees,Обратно в клас - rock,Everybody Talks,0,177280,False,0.474,0.916,8,-3.93,1,0.0624,0.00504,0.0,0.325,0.745,154.948,4,alternative,bg,0.5237060189247131
3479,4haXv9IJwOlJJsT6FNJPYk,Jimmy Eat World,Обратно в клас - rock,The Middle,0,166040,False,0.644,0.848,2,-5.385,1,0.0529,0.0358,0.0,0.0676,0.928,162.151,4,alternative,bg,0.4330826997756958
3529,5S9KnOMLC5vRckzbvzasEs,Hoobastank,Обратно в клас - rock,The Reason,0,232800,False,0.474,0.671,4,-4.649,1,0.0289,0.0129,0.0,0.159,0.0682,82.94,4,alternative,bg,0.4479413628578186
3547,5XEYNhZdOT7QUfoXxVSdbu,The Verve,Обратно в клас - rock,Bitter Sweet Symphony - Remastered 2016,0,357266,False,0.356,0.917,9,-6.005,1,0.0487,0.0336,0.0,0.406,0.523,171.172,4,alternative,bg,0.2384563088417053
3620,4ITIaQ64inKaI9rjRoNcLo,Bishop Briggs,Обратно в клас - rock,River,0,214280,False,0.726,0.484,2,-6.708,0,0.0477,0.274,2.42e-06,0.0874,0.561,62.492,4,alternative,bg,0.7221845388412476
4307,4SsDrt7HV1ECcJ2A7EHfLL,Gabríel Ólafs,Piano Works,Filma Solo,58,195154,False,0.213,0.0377,10,-33.06,1,0.0475,0.986,0.869,0.139,0.0973,165.763,4,ambient,hu,0.1911353468894958
4513,4rYMgi9PpmYY7pfgx4EahN,Aukai,Aukai,Alto Paraíso,55,146322,False,0.565,0.251,5,-16.988,0,0.0882,0.957,0.754,0.101,0.31,134.852,1,ambient,hr,0.3787752985954284
4812,4WrzZAsZQOPwbUgSqrNgp2,Fejká;Rökkurró,Reunion,Svanur (feat. Rökkurró),43,296585,False,0.666,0.518,6,-10.387,1,0.035,0.0646,0.825,0.152,0.277,122.998,4,ambient,hu,0.2587583363056183
5005,6y4GYuZszeXNOXuBFsJlos,Eve,Kaikai Kitan / Ao No Waltz,Kaikai Kitan,75,221426,False,0.584,0.911,5,-3.515,0,0.09,0.0119,0.0,0.119,0.606,92.502,4,anime,hu,0.1594863682985305
5801,5RpCdEgSjTVIyziY4Ln8Ju,Eve,Kaikai Kitan,Kaikai Kitan,49,219234,False,0.565,0.919,5,-3.378,0,0.0898,0.0128,0.0,0.292,0.565,92.325,4,anime,hu,0.395006388425827
6097,7hCliCeK5O44yfTgDR2DmK,Bucovina,Septentrion,Asteapta-Ma Dincolo (De Moarte),24,379946,False,0.417,0.965,8,-3.279,0,0.0658,5.9e-06,0.0989,0.0941,0.154,148.008,4,black-metal,ro,0.1622392982244491
6359,01goDEgLNLAVOmRQ8Ip7js,Alcest,Kodama,Oiseaux de proie,39,468226,False,0.233,0.619,8,-8.78,0,0.0337,5.94e-05,0.801,0.24,0.139,114.298,4,black-metal,ro,0.148481473326683
6779,5lKeJIU0KnJZEF2FE76B3y,Samael,Telepath,Telepath,16,215480,False,0.518,0.971,2,-3.296,1,0.118,0.00266,0.00191,0.0735,0.304,145.811,4,black-metal,hu,0.3110870718955993
6816,2irXVa70RYAMtgqP4nqRNU,Nordjevel,Nordjevel,Norges Sorte Himmel,17,609226,True,0.17,0.921,8,-5.664,0,0.0919,4.52e-06,0.76,0.248,0.0998,124.704,4,black-metal,hr,0.2462592273950576
9425,3IcKMQszCEB2xxcip1tSqP,Kiara Vitória,Despreocupa,Despreocupa,45,310635,False,0.498,0.582,2,-5.62,1,0.031,0.512,0.0,0.246,0.308,134.886,4,brazil,ro,0.3215217590332031
9441,5j4efyqEcrNX74JQJOmToB,Kiara Vitória,Despreocupa,Despreocupa,46,310635,False,0.499,0.581,2,-5.614,1,0.0309,0.513,0.0,0.243,0.318,134.823,4,brazil,ro,0.3215217590332031
9854,26WEkO8t9MkvuSWVfidYBP,Costa Gold;Haikaiss,.155,Backstage,44,384000,True,0.697,0.767,0,-6.196,1,0.451,0.271,0.0,0.902,0.843,100.392,4,brazil,hu,0.1867944300174713
14022,23hmXGMYOSQ7jSGHJTZkub,Kidz Bop Kids,Отново на училище,Levitating,1,186466,False,0.706,0.798,5,-4.733,0,0.0374,0.00416,0.00283,0.106,0.812,103.017,4,children,bg,0.8030096888542175
15347,5k4Htrd5PqDjAYGnIASrIo,Pandrezz;j'san;Epektase,lofi за учене,Montara,0,125217,False,0.835,0.195,1,-11.374,1,0.0741,0.884,0.954,0.11,0.149,92.036,4,chill,mk,0.3056504130363464
15349,6vZasoTUJMz2ZU10Av1uKX,Pandrezz;j'san;Epektase,lofi за учене,Mystic Brew,0,126896,False,0.789,0.162,5,-13.013,0,0.095,0.81,0.94,0.0885,0.434,86.98,4,chill,mk,0.2997718155384063
17203,5Woxn89IL5z5YJcuWib8Qk,ALEX,ODYSSEY,ODYSSEY,39,222222,False,0.613,0.995,6,-4.959,0,0.0466,0.216,0.77,0.21,0.293,107.971,4,club,ro,0.2327778786420822
19632,5U0t4SMp344ER0F4jYb6xI,Don Henley,Обратно в клас - rock,The Boys Of Summer,0,288333,False,0.516,0.775,6,-6.409,1,0.0412,0.396,0.00129,0.21,0.858,177.401,4,country,bg,0.3789211213588714
20158,0nrRP2bk19rLc0orkWPQk2,Avicii,True,Wake Me Up,85,247426,False,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,dance,ro,0.138453260064125
20541,5DH6Cc1lFD0kSuwL836Oue,Avicii,Отново на училище,Wake Me Up - Radio Edit,0,246813,False,0.524,0.807,2,-4.16,1,0.0579,0.00415,0.000834,0.212,0.62,124.127,4,dance,bg,0.6515264511108398
20564,0xlsIZWwkErSWdDn8X3JFV,Sean Paul;Dua Lipa,Отново на училище,No Lie,1,221176,False,0.742,0.883,7,-2.862,1,0.118,0.0468,0.0,0.206,0.464,102.044,4,dance,bg,0.7066287398338318
