Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,lang_fasttext,lang_confidence
388,7KC4B2R255iYIPVG8S7Eey,Hanare Gumi,だれそかれそ,接吻,33,369200,False,0.707,0.296,7,-11.633,1,0.078,0.283,0.0,0.0601,0.65,88.006,4,acoustic,tr,0.4034345149993896
2159,6CkLcIjIAWHJp3nZWhNQvF,Duman,Best Viral Tunes,Her Şeyi Yak,0,270280,False,0.629,0.538,2,-6.79,1,0.0244,0.461,0.0,0.123,0.205,100.038,4,alt-rock,tr,0.8802748322486877
2160,2iwsJcPB5HIVTuHHwdTNO4,Duman,Viral Şarkılar,Her Şeyi Yak,0,270280,False,0.629,0.538,2,-6.79,1,0.0244,0.461,0.0,0.123,0.205,100.038,4,alt-rock,tr,0.8802748322486877
2341,3NSLr0b5MRGgLM298WQjMZ,Fito Paez,Rock x siempre,11 Y 6,0,175720,False,0.746,0.506,7,-7.945,1,0.0267,0.159,0.0,0.273,0.35,101.361,4,alt-rock,tr,0.5899189114570618
2472,1ZLExfqDJGcoZfc6l1vDws,Flört,Cemiyette Pişiyoruz,Bir Tek Sen Gelmedin,49,261373,False,0.611,0.7,9,-7.966,0,0.0302,0.00181,0.00248,0.291,0.707,145.943,4,alt-rock,tr,0.7328442335128784
2625,6kHjMdhMOz1Y84X3DHvbni,Ne Jupiter,Aklımın Derinlerinde,Gökyüzüm Siyah Olsa Da,47,259200,False,0.599,0.563,1,-7.317,0,0.0407,0.526,0.0623,0.053,0.302,150.009,4,alt-rock,tr,0.7161980867385864
2769,13DqxJiOQYYbgcFVhd8Rtk,Birileri,...aynı yer,...aynı yer,46,213033,False,0.635,0.414,11,-10.369,0,0.0322,0.165,2.13e-05,0.229,0.692,88.978,4,alt-rock,tr,0.9995614886283876
2816,5i9YJPhJo1RrWHKjkbkgmk,Büyük Ev Ablukada,FIRTINAYT,BENİM KAFAM SİKTİRMİŞ GİTMİŞ,45,117460,True,0.761,0.652,11,-10.534,0,0.236,0.0632,0.0,0.104,0.847,125.018,4,alt-rock,tr,0.8560805916786194
2821,4gBNgq0v7fG5kGC857Pb8M,Birileri,Pür Akustik,Aşık Olmamam Gerek - Canlı Akustik,45,211700,False,0.516,0.733,4,-10.627,0,0.0376,0.352,0.0,0.29,0.657,90.563,4,alt-rock,tr,0.3812274932861328
2926,0jdfbvSdaWvxfAlD20TtNc,Yaşlı Amca,Akşamüstü,Sanki Yapamadım,44,213198,False,0.442,0.567,8,-6.346,0,0.0516,0.238,0.000325,0.0852,0.639,138.616,0,alt-rock,tr,0.968794047832489
2929,56AD3PBYdPepniv4VtsV7s,Yüzyüzeyken Konuşuruz,Evdekilere Selam,Kendi Evimde Deplasmandayım,44,274773,False,0.346,0.717,2,-7.727,0,0.138,0.347,0.0,0.225,0.838,182.498,4,alt-rock,tr,0.9340181946754456
2973,6E9deAT9PHY3xwZwD0fvhZ,Batu Akdeniz,Bir Kalbin Çöküşü,Ona Gitme,44,199872,False,0.475,0.728,11,-4.741,0,0.0362,0.0331,0.0,0.198,0.483,82.474,4,alt-rock,tr,0.5470090508460999
3315,2iwsJcPB5HIVTuHHwdTNO4,Duman,Viral Şarkılar,Her Şeyi Yak,0,270280,False,0.629,0.538,2,-6.79,1,0.0244,0.461,0.0,0.123,0.205,100.038,4,alternative,tr,0.8802748322486877
3316,6CkLcIjIAWHJp3nZWhNQvF,Duman,Best Viral Tunes,Her Şeyi Yak,0,270280,False,0.629,0.538,2,-6.79,1,0.0244,0.461,0.0,0.123,0.205,100.038,4,alternative,tr,0.8802748322486877
3545,3NSLr0b5MRGgLM298WQjMZ,Fito Paez,Rock x siempre,11 Y 6,0,175720,False,0.746,0.506,7,-7.945,1,0.0267,0.159,0.0,0.273,0.35,101.361,4,alternative,tr,0.5899189114570618
3724,1ZLExfqDJGcoZfc6l1vDws,Flört,Cemiyette Pişiyoruz,Bir Tek Sen Gelmedin,49,261373,False,0.611,0.7,9,-7.966,0,0.0302,0.00181,0.00248,0.291,0.707,145.943,4,alternative,tr,0.7328442335128784
4212,233sHWbC7v5XM9dYZnaUHx,Novo Amor,Birthplace,Seneca,52,267746,False,0.182,0.341,0,-9.966,0,0.0337,0.972,0.608,0.1,0.113,78.895,4,ambient,tr,0.2658905684947967
4613,1veZkUONsfxYDfqcGo6YbG,Niklas Paschburg;Andy Barlow,Svalbard,Duvet,50,204845,False,0.403,0.16,6,-22.779,1,0.0369,0.959,0.941,0.0911,0.16,72.571,4,ambient,tr,0.3729539811611175
5329,1yPluCl0c17RcWyGjV7tw5,Otaku,Ghibli Lofi,Aryetti's Song,60,115616,False,0.49,0.296,3,-20.157,0,0.0301,0.726,0.862,0.106,0.339,75.012,4,anime,tr,0.3691752552986145
5554,5ZaKWYtQTpOyRogPpE5Tyj,Ikimonogakari,BAKU,BAKU,49,227213,False,0.64,0.939,1,-3.368,0,0.0421,0.068,0.0,0.0762,0.756,113.985,4,anime,tr,0.4279841780662536
5624,25hbD2ZhTlBv0MQAAAI6DY,FictionJunction;LiSA,from the edge -TV ver.-,from the edge -TV ver.-,47,90102,False,0.416,0.922,8,-4.044,1,0.162,0.238,0.0,0.059,0.161,162.167,4,anime,tr,0.3876939713954925
5898,7FAjPbS7XPN7o79eqk2rb3,Adlomusic,Thor vs. Lu Bu,Thor vs. Lu Bu,34,259354,False,0.663,0.903,1,-5.288,0,0.131,0.325,0.0,0.153,0.24,93.004,4,anime,tr,0.5460311770439148
11653,6r52OQ9oSR9IBD2p9JOj2X,Dominic Lewis,Bullet Train (Original Motion Picture Score),Kyoto Eki,38,98693,False,0.387,0.506,5,-14.42,0,0.0348,0.00907,0.935,0.124,0.331,139.919,4,british,tr,0.3610366284847259
12215,0oE2ojWoZcNmGABQi8l1xk,Miriam Yeung,電光幻影,處處吻,42,199041,False,0.758,0.794,1,-4.734,0,0.0405,0.364,0.0,0.099,0.77,119.021,4,cantopop,tr,0.4230904281139374
15768,61dht7XTCDnjRa3f1HgVdj,Finding Hope,Daydream,Daydream,43,164000,False,0.818,0.371,8,-8.319,1,0.0502,0.189,0.000489,0.124,0.39,90.006,4,chill,tr,0.1987923681735992
22494,6Re0uKy6U63UiHICSY7WV8,DeadSquad,Anatomi Dosa 2.0,Anatomi Dosa 2.0,23,179626,True,0.406,0.971,1,-5.354,1,0.185,0.000147,0.939,0.196,0.142,144.928,4,death-metal,tr,0.2254027724266052
22692,47vY4Ll7FV4CUWDbu5sfM9,DeadSquad,Profanatik,Anatomi Dosa,22,209093,False,0.396,0.939,1,-5.604,1,0.543,0.0014,0.256,0.226,0.135,143.958,4,death-metal,tr,0.247447207570076
23340,2xIC5DmTHaGBL83a9OUXM4,Buray;Arem Ozguc;Arman Aydin,Senin Yüzünden,Senin Yüzünden,62,173250,False,0.724,0.807,3,-4.021,0,0.0682,0.047,4.57e-05,0.0762,0.704,94.978,4,deep-house,tr,0.8732770085334778
23356,23mm9aftN5GODdix3IY64M,Buray,Çift Gökkuşağı (Ada Masalı Orijinal Dizi Müziği),Çift Gökkuşağı (Ada Masalı Orijinal Dizi Müziği),53,142470,False,0.634,0.579,6,-7.964,0,0.075,0.418,0.0,0.297,0.901,82.021,4,deep-house,tr,0.987090528011322
23509,6KybXlftuqmAxRI05yqDfk,Hadise,Küçük Bir Yol,Küçük Bir Yol,69,280739,False,0.561,0.658,3,-6.023,0,0.028,0.0123,0.0,0.15,0.417,112.014,4,deep-house,tr,0.9566411972045898
23544,7H4baUrCPnLkLOl6o9zkMO,Hadise,Şampiyon,Şampiyon - Gürcell Remix,31,222555,False,0.739,0.604,0,-9.796,1,0.062,0.000308,0.0717,0.358,0.593,124.982,4,deep-house,tr,0.9782235622406006
23606,1ISb4TsSeaPX3MfvqOj9YX,Buray,1 Şişe Aşk,İstersen,52,224373,False,0.778,0.671,4,-6.495,0,0.0439,0.0499,0.0,0.124,0.687,121.942,4,deep-house,tr,0.8762623071670532
23666,3GoTzDCX7Z3b3cMJeykv7N,Hadise,Tavsiye,Yaz Günü,57,217654,False,0.805,0.592,5,-8.806,1,0.0819,0.00393,0.0,0.0684,0.673,105.979,4,deep-house,tr,0.9944368004798888
23851,3rTnSsUS6gD2BDnMlPB2u8,Buray,Deli Kız,Deli Kız,58,195582,False,0.639,0.837,9,-4.632,0,0.0517,0.263,1.82e-06,0.0756,0.717,98.017,4,deep-house,tr,0.8396190404891968
23950,2W6XpjOKbmZ1NNVNtwBr5b,Emrah Karaduman;Aleyna Tilki,Cevapsız Çınlama,Cevapsız Çınlama,52,212535,False,0.677,0.963,7,-3.0,1,0.104,0.00469,1.17e-06,0.358,0.598,108.016,4,deep-house,tr,0.9616982936859132
23952,0I8oQaAdhVgx19qXiVKDuI,Hadise,Şampiyon,Sıfır Tolerans,62,225794,False,0.755,0.834,6,-6.021,0,0.0662,0.00509,0.0,0.18,0.558,127.981,4,deep-house,tr,0.8783478736877441
25720,7bvuyE21cfzzM3JzRNtyp7,Ikke Hüftgold;Lorenz Büffel,Asamoah,Asamoah,31,192733,False,0.659,0.944,10,-2.854,1,0.0441,0.0127,0.0,0.208,0.682,134.0,4,disco,tr,0.2476481944322586
27150,6DJV0w34C2GAuKQqXzfHfy,Mohican Sun,Darkest Hour [UKF10],Darkest Hour,53,285393,False,0.395,0.875,2,-4.613,0,0.0448,0.0725,0.116,0.225,0.0656,86.956,4,drum-and-bass,tr,0.1184660494327545
27703,0heLGGv1IyGOgFobFrbUgv,Document One,LSD,LSD,50,252342,False,0.642,0.845,5,-4.736,0,0.0428,0.0155,0.284,0.736,0.0373,87.528,4,drum-and-bass,tr,0.288644015789032
28536,1pG91KqhQR2otR6fdNwgNf,Disciples,Switch,Di Saat Badai,29,212826,False,0.775,0.613,2,-7.019,1,0.0416,0.566,1.14e-05,0.0914,0.534,94.015,4,dub,tr,0.2712605893611908
29807,5CPb3hIAHW1YAJsy5n2DQj,JVNA,Gurenge,Gurenge,40,204800,False,0.262,0.679,4,-3.882,0,0.0414,0.0737,0.0,0.145,0.0667,149.577,4,dubstep,tr,0.4128456115722656
31657,1ER18JtNiSnKkZX26zdkG9,6091,Kummati,Kummati,45,213333,False,0.578,0.459,11,-11.68,1,0.0863,0.674,0.349,0.377,0.182,152.94,4,electro,tr,0.3603564500808716
32061,1ER18JtNiSnKkZX26zdkG9,6091,Kummati,Kummati,45,213333,False,0.578,0.459,11,-11.68,1,0.0863,0.674,0.349,0.377,0.182,152.94,4,electronic,tr,0.3603564500808716
32159,0uETXz9EaPbQPgvHppOQYr,Shanti People;Droplex,Gayatri,Gayatri,39,311101,False,0.468,0.641,10,-7.881,0,0.106,0.0122,0.342,0.366,0.146,137.969,4,electronic,tr,0.3098853528499603
32700,7KAQwDyAcdiHZhQU01KLkN,TroyBoi,Left Is Right,ili,24,245000,False,0.634,0.588,9,-6.753,1,0.106,0.0575,0.00231,0.441,0.77,174.006,4,electronic,tr,0.6875591278076172
32906,072R0du8qjb8TQEKKvYktK,Prabh Deep,Dosh,Dosh,24,288623,False,0.529,0.62,1,-7.832,0,0.252,0.788,3.01e-06,0.105,0.162,177.811,4,electronic,tr,0.5073426961898804
33475,14PlDNjNh3pXyHXzkhX8n5,6ix9ine;Fetty Wap;A Boogie Wit da Hoodie,Day69: Graduation Day,KEKE,60,151914,True,0.599,0.857,7,-5.7,1,0.299,0.0321,0.0,0.4,0.469,187.985,4,emo,tr,0.6026289463043213
34598,6NNiVBkstx4zWrQVbEpZ8I,Nurettin Rençber,Eski Yara,Yürürüm,46,306013,False,0.344,0.42,5,-11.73,0,0.0454,0.605,2.11e-05,0.206,0.519,91.766,4,folk,tr,0.991616427898407
34729,197CWknsQggubzqaiuTt9o,Zeki Müren,Ayrıldık İşte,Seni Sordum Yıldızlara,46,309173,False,0.457,0.542,2,-13.463,0,0.0411,0.76,0.0,0.43,0.691,81.408,4,folk,tr,0.8162702918052673
34732,2ol1ST9LqK6gR7QOp03exs,Aşık Veysel,"Dostlar Beni Hatırlasın 1894-1973, Vol. 1 (Hiç Unutulmayacaklar)",Güzelliğin on para etmez,45,138386,False,0.472,0.221,8,-13.813,1,0.0317,0.948,0.0,0.0715,0.563,107.345,4,folk,tr,0.9953428506851196
34960,2q3D4sdAMJSJRS9t6oaBRo,Nusrat Fateh Ali Khan,Salaam - Nusrat Fateh Ali Khan,Piya Re Piya Re,31,464426,False,0.708,0.474,7,-14.007,1,0.0815,0.0719,0.0,0.112,0.423,91.948,4,folk,tr,0.5426501631736755
