id,artists,track name,emotionality,emotion_type,emotion_score,culture
13DqxJiOQYYbgcFVhd8Rtk,Birileri,...aynı yer,,JOY,0.9518191814422607,Turkish
4KQ8xXm9v7sF7ZeSWywiKs,Cem Karaca,1 Mayıs,,JOY,0.986728847026825,Turkish
4xcNgAUqgeMCmu5H1VCYYj,Lvbel C5,10 NUMARA,,ANGER,0.9871717095375061,Turkish
1oFnf7O5pRtgTt1U6cBxHl,Gece,22,,JOY,0.4654904901981354,Turkish
20aL7puq4bsxxnOI5xz0Ya,Ravend,24'e 5 kala,,JOY,0.4839871823787689,Turkish
6sdwrMh2WwmKALGMSK3pNG,Cash Flow,600 Watt,,ANGER,0.9272398352622986,Turkish
7rj3An16vKqwEevpBqFjXr,Gaye Su Akyol,Abbas,,LOVE,0.5526297092437744,Turkish
7hIUAv5m8fR3Pt8AEGXYJ5,Selda Bağcan,Adaletin Bu mu Dünya,,JOY,0.7579246759414673,Turkish
7a6FLQOSUUJXAC7YQqtu1E,Kum,Adam,,SADNESS,0.996760904788971,Turkish
0aUhJQdCqJ5Xtrb8PoOE0F,​rody dünyada,Add,,JOY,0.5019476413726807,Turkish
0WnwDmHrQE4a9sU6jaDj0s,Ferhat Göçer,Adını Tek Geçerim,,ANGER,0.41531965136528015,Turkish
0hDyV5uVN9FhQeD4PB5FSx,Müzeyyen Senar,Agora Meyhanesi,,LOVE,0.5251205563545227,Turkish
5ZmmCJeG3ob3p3IauV1PTn,Candan Erçetin,Ah Bu Şarkıların Gözü Kör Olsun,,LOVE,0.9330780506134033,Turkish
1RaB8wBS5z9z2TvfaLEB2R,Şam,Ailem İçin,,ANGER,0.5567509531974792,Turkish
3soQ0e19kGGF6CDyCoZvrt,Müzeyyen Senar,Akşam oldu hüzünlendim ben yine,,LOVE,0.9906399250030518,Turkish
2YWHanCmJIIwX33UgZhrnq,Tarkan,Akşam Oldu Hüzünlendim Ben Yine,,LOVE,0.9879276156425476,Turkish
5aTZEpXxInmV9bHMAjsG2w,Zeki Müren,Akşam Olunca Yarelerim Sızlar,,LOVE,0.9881139397621155,Turkish
6tpYtU4s4h0cWiDD1qyPhW,Saian,Al Sevgilim Anne Ol Bununla,,SURPRISE,0.9366838335990906,Turkish
1kZh2hBrCRobQWdfaNhCfZ,Saian,Al Sevgilim Kanser Ol Bununla,,SADNESS,0.9778838157653809,Turkish
516hqXkL3eYY1c63sDo59g,Dolu Kadehi Ters Tut,Aldattın Mı,,ANGER,0.9610272645950317,Turkish
3521U20eZSGzR5TJwgwVzR,Erol Evgin,Aldım Başımı Gidiyorum,,SADNESS,0.9520999789237976,Turkish
6cMiDfcYG2qJSx2H2GzLSK,Bağzıları,Allı Turnam,,SADNESS,0.9955546259880066,Turkish
57WkOzvuw0v4XadnZ6VvvA,Ayla Dikmen,Alyanaklım,,JOY,0.9977760910987854,Turkish
6OPbkpYyRTPjbweLRcRMbU,Ümit Besen,Alışmak Sevmekten Zor,,LOVE,0.7281222939491272,Turkish
3g2TrHxAEugjJ5DtFFQBr5,Mavi (TUR),ama hala,,JOY,0.6108291149139404,Turkish
2zLy2Z8fZyVMGhoFAYP8LP,Barış Manço,Anahtar,,LOVE,0.6024578213691711,Turkish
69RuOoiyE8yNt87aiBM2UC,Orkundk,Ananın Amına Kadar Yolun Var,,ANGER,0.9962548017501831,Turkish
2jRlxh3vkrLyhRnhIhG7iM,Bulutsuzluk Özlemi,Ankara Sokakları,,SADNESS,0.9962683320045471,Turkish
140Gw2YEm6CjfxDwe2vzba,Haluk Levent,Ankara,,SADNESS,0.9970364570617676,Turkish
4Nhzp5J1JSYaqXCFvrKwNJ,Şanışer,Anlamı Yok,,ANGER,0.9969208240509033,Turkish
6yysTBx7fYqP27Omb0ZYcC,Şanışer,Anlat Bana,,JOY,0.7062689661979675,Turkish
1E5Zumas0loctbiUN2whpi,Sera Savaş,Anlatsam Anlatamam,,SADNESS,0.9788094162940979,Turkish
3nC6iMsN6ALaewr2LArtRQ,Pilli Bebek,Anlıyorum,,SADNESS,0.9080308675765991,Turkish
4qCvhgnQAP01JOJFvJoidH,Ceg,Anormal,,ANGER,0.9977825284004211,Turkish
1FAERur0SW0KB38aii9tPF,Nilüfer,Ara Sıra Bazı Bazı,,JOY,0.9900528788566589,Turkish
18Ies0Fsw2IwDuLoOhDlyy,Zeynep Bastık,Ara,,LOVE,0.9901530146598816,Turkish
2PQPjYtchdg7ecv5VXL0ZU,Şanışer,Artık Anlamıyorum,,ANGER,0.9978917241096497,Turkish
4IRitV0vz4K7lCgwPilLPO,Şam,Artık,,ANGER,0.6995183825492859,Turkish
7GJi3O8hJFsifndyaVKHO4,Nesrin Sipahi,Arım Balım Peteğim,,SADNESS,0.9538843631744385,Turkish
6g6MHm9u0h2Em9Xuk89eqR,EDIS,Arıyorum,,SADNESS,0.9898430705070496,Turkish
6uldj8hFDELGGNQZzxSg8p,Emel Sayın,At Kadehi Elinden,,SADNESS,0.9468715786933899,Turkish
5s2oLZj9UbpNpo1fsGHaUK,No.1,Ateş ve Barut,,JOY,0.7593369483947754,Turkish
5rtEABE6O3vt9ERu5NYEEw,Keişan,"Ateş, Elbet",,ANGER,0.9260196089744568,Turkish
1bYbiK0GZbRoCw8S2nq4pw,Lil Zey,Avaz Avaz,,JOY,0.5269042253494263,Turkish
1xUrARGhggaxXG6gBsB5NH,Cem Karaca,Ay Karanlık,,ANGER,0.996868908405304,Turkish
4hv9mEWi4911k1uhU4fPEH,Ufuk Beydemir,Ay Tenli Kadın,,LOVE,0.47382256388664246,Turkish
6si8O4MOkdrhBKIbTD4pBC,Saian,Ay Şarkısı,,FEAR,0.9713341593742371,Turkish
7tpIYgAGMtGtrx5OlOKUab,Stabil,Aynalarımda,,SADNESS,0.664595901966095,Turkish
3d6O6X0g6uLFao75MVby0Q,Ferdi Tayfur,Ayrılacağım,,ANGER,0.8976444005966187,Turkish
56FA9CiYOfJrhuMbhBzFRZ,Barış Manço,Ayrılık,,SADNESS,0.679612398147583,Turkish
56FA9CiYOfJrhuMbhBzFRZ,Düş sokağı sakinleri,Ayrılık,,SURPRISE,0.926406979560852,Turkish
3IeXqCUNquwfnUQrEXSDnu,Leman Sam,Ayrılığa Dayanamam,,SADNESS,0.9838638305664062,Turkish
5DEp8hauuZ45oG38YOkkQq,Pratsofficial,Aziyat,,JOY,0.993723452091217,Turkish
57NChv3uzjm8y4Y3x3Y8g0,Sertab Erener,Aç Sesini,,ANGER,0.6984096169471741,Turkish
2HNIknCF59i1QoXzQUM7cw,3 Hürel,Ağlarsa Anam Ağlar,,SADNESS,0.8964963555335999,Turkish
6vTrmti4xuMtXvkjJbLlKk,Melike Şahin,Aşk Bitti,,SADNESS,0.9406166076660156,Turkish
3Oyp1lkh1KEX8a5qg6eHZJ,Kıvılcım Ural,Aşk Laftan Anlamaz,,JOY,0.45039618015289307,Turkish
2hUvo9TxVWCbszNphTtNlJ,Malt,Aşkın Gözü,,ANGER,0.48188668489456177,Turkish
1SOOrc0raVGiP5Wv2cc8uP,Şanışer,Aşılmaz Yollar,,SADNESS,0.9503756165504456,Turkish
6OYWwrrA1DrthAF6XcCzAF,Şebnem Ferah,Babam Oğlum,,SADNESS,0.9945980310440063,Turkish
5JzM7QO7lYUaCkechDWAeG,Barış Manço,Bahçede Hanımeli,,JOY,0.45564785599708557,Turkish
59YZK0d2ttqxIKD36PaX3t,Emel Sayın,Bak Yeşil Yeşil,,LOVE,0.920405924320221,Turkish
3P4mJbu3evIXhTi6wO6oRs,Anıl Piyancı,BANA DİK DİK BAKMA,,JOY,0.8808682560920715,Turkish
6H8bJPcwgyTSkaTCzB0NC7,Stabil,Bana Söyle,,JOY,0.9877840876579285,Turkish
6YOD2nHY0P3Usl4e58iO3m,Ozbi,Bana Yol Söyle,,JOY,0.8828980922698975,Turkish
3rqhucvukCxRQrVDjq8uRs,Can Bonomo,Bardak Taşıyor,,SADNESS,0.9959806203842163,Turkish
3jpzdLvSyufByWuvgBNPxU,DEHA INC.,Baskın,,JOY,0.5778180956840515,Turkish
72EsHQaM41uaUlq2nMHQFy,​mor ve ötesi,Bazen,,JOY,0.9865564703941345,Turkish
4aNKwMW76gdQAudFtGxveu,Hidra,Bağırın,,SADNESS,0.9442178606987,Turkish
4I1JXqEZFMSH7y5xzEGGnH,Şebnem Ferah,Başka Bir Yol Var,,FEAR,0.9663660526275635,Turkish
